"Prince_Amedeo,_Duke_of_Aosta",Princess_Anne_of_Orléans
William_Henry_Vanderbilt,Emily_Thorn_Vanderbilt
Donnchadh_of_Argyll,Ruaidhrí_mac_Raghnaill
Abdul_Muhsin_bin_Abdulaziz_Al_Saud,Ibn_Saud
"Mary_of_Hungary,_Queen_of_Naples",Blanche_of_Anjou
Prince_Abo,Ariwara_no_Narihira
Muhriz_of_Negeri_Sembilan,Tuanku_Aishah_Rohani
Seleucus_VII_Philometer,Antiochus_XIII_Asiaticus
Frederick_III_of_Denmark,Prince_George_of_Denmark
Eleanor_of_Austria,Claude_of_France
Horatio_King,Abraham_Lincoln
Nevzad_Hanım,Mehmed_VI
James_Giles_(painter),Queen_Victoria
Landgravine_Elisabeth_Amalie_of_Hesse-Darmstadt,Count_Palatine_Francis_Louis_of_Neuburg
Olga_Tañón,Jenni_Rivera
"Richard_of_Conisburgh,_3rd_Earl_of_Cambridge","Isabel_of_Cambridge,_Countess_of_Essex"
"Caroline_Fox,_1st_Baroness_Holland",Henry_Edward_Fox
Cave_Johnson,Richard_Cheatham
Judith_of_Bohemia,Władysław_I_Herman
Frederick_Guest,George_V
Princess_Elena_of_Romania,Princess_Margareta_of_Romania
Elżbieta_Czartoryska_(1736–1816),Konstancja_Małgorzata_Lubomirska
"Mary_of_Lusignan,_Queen_of_Naples",Mary_of_Enghien
"Alexander,_Count_Palatine_of_Zweibrücken","Rupert,_Count_Palatine_of_Veldenz"
Andrzej_Zamoyski,Stanisław_Kostka_Zamoyski
Abdullah_Al-Salim_Al-Sabah,Ahmad_Al-Jaber_Al-Sabah
Margaret_Paleologa,"Federico_II_Gonzaga,_Duke_of_Mantua"
"Robert_Crewe-Milnes,_1st_Marquess_of_Crewe",George_V
Claude_of_France_(1547–1575),"Charles_III,_Duke_of_Lorraine"
Princess_Charlotte_of_Prussia_(1831–1855),"Georg_II,_Duke_of_Saxe-Meiningen"
Umberto_II_of_Italy,Princess_Maria_Pia_of_Bourbon-Parma
Bohemond_III_of_Antioch,"Theodora_Komnene,_Princess_of_Antioch"
John_William_Meece,Theodore_Roosevelt
"Margaret_of_Bohemia,_Queen_of_Hungary",Elizabeth_of_Bosnia
"Eleanor_of_Portugal,_Queen_of_Aragon",Peter_IV_of_Aragon
Matrika_Prasad_Koirala,Mahendra_of_Nepal
Yunus_Pasha,Selim_I
"Edward_Smith-Stanley,_14th_Earl_of_Derby",Queen_Victoria
Hemma,Carloman_of_Bavaria
Bánk_Bár-Kalán,Julius_I_Kán
"Luísa,_Duchess_of_Cadaval","Jaime_Álvares_Pereira_de_Melo,_3rd_Duke_of_Cadaval"
"Conrad_II,_Holy_Roman_Emperor","Henry_III,_Holy_Roman_Emperor"
"Richard_Neville,_5th_Earl_of_Salisbury","Alice_Montacute,_5th_Countess_of_Salisbury"
"Luís_de_Vasconcelos_e_Sousa,_3rd_Count_of_Castelo_Melhor",Peter_II_of_Portugal
Klemens_von_Metternich,"Francis_II,_Holy_Roman_Emperor"
William_Milne_(politician),John_Hart_(South_Australian_colonist)
Lois_Roden,Benjamin_Roden
Tibúrcio_Spannocchi,Philip_III_of_Spain
William_Thomas_Waggoner,Albert_Buckman_Wharton_III
Eleanor_of_Austria,Claude_of_France
Christian_III_of_Denmark,Frederick_II_of_Denmark
Henry_VI_of_England,Charles_VI_of_France
"Albert_V,_Duke_of_Saxe-Coburg",Marie_Elisabeth_of_Brunswick-Wolfenbüttel
"Louis_Philippe_I,_Duke_of_Orléans",Louise_Henriette_de_Bourbon
Husayn_Pasha_ibn_Makki,Abdul_Hamid_I
Salahuddin_of_Aceh,Alauddin_al-Kahar
Jonathan_Motzfeldt,Margrethe_II_of_Denmark
William_Stafford_(courtier),Mary_Boleyn
Robert_Eden_(bishop),David_Low_(bishop)
Mark_Antony,Augustus
Luarsab_I_of_Kartli,Simon_I_of_Kartli
"Eric_II,_Duke_of_Pomerania","Sophie_of_Pomerania,_Duchess_of_Pomerania"
William_F._Knowland,Lyndon_B._Johnson
Hamdan_bin_Rashid_Al_Maktoum,Mohammed_bin_Rashid_Al_Maktoum
"Louis_IV,_Holy_Roman_Emperor","Charles_IV,_Holy_Roman_Emperor"
"Karl_I,_Prince_of_Anhalt-Zerbst","Joachim_Ernest,_Prince_of_Anhalt"
"Odoardo_Farnese,_Hereditary_Prince_of_Parma",Elisabeth_Farnese
"Mary,_mother_of_Jesus",Jesus
John_Kent_(Newfoundland_politician),Queen_Victoria
Vladislaus_II_of_Hungary,Anne_of_Foix-Candale
Jacqueline_Mars,Stephen_M._Badger
"William_Ponsonby,_2nd_Earl_of_Bessborough","William_Flower,_1st_Baron_Castle_Durrow"
Katharina_of_Schwarzburg-Blankenburg,"Reinhard_IV,_Count_of_Hanau-Münzenberg"
Princess_Margaret_Yolande_of_Savoy,"Ranuccio_II_Farnese,_Duke_of_Parma"
Agrippina_the_Younger,Claudius
Linda_L._Kelly,George_W._Bush
"Henry_Percy,_5th_Earl_of_Northumberland","Henry_Percy,_6th_Earl_of_Northumberland"
"Archibald_Douglas,_8th_Marquess_of_Queensberry",Queen_Victoria
Joanna_of_Castile,"Ferdinand_I,_Holy_Roman_Emperor"
Lenny_Bruce,George_Carlin
Thomas_North,"Roger_North,_2nd_Baron_North"
Charles_I_of_England,Charles_II_of_England
Mary_de_Bohun,"Thomas_of_Lancaster,_1st_Duke_of_Clarence"
Jérôme_Napoléon_Bonaparte,Jerome_Napoleon_Bonaparte_II
"Louise_Françoise_de_Bourbon,_Duchess_of_Bourbon",Anne_Henriette_of_Bavaria
Jaunutis,Algirdas
Domnall_mac_Ailpín,Kenneth_MacAlpin
Princess_Maria_Carolina_of_Bourbon-Two_Sicilies_(1856–1941),Andrzej_Przemysław_Zamoyski
Charles_Marcil,George_V
"John_I,_Count_of_La_Marche","James_II,_Count_of_La_Marche"
Rudolf_I_of_Germany,Albert_I_of_Germany
"Frederick_Christian_II,_Duke_of_Schleswig-Holstein-Sonderburg-Augustenburg",Princess_Louise_Auguste_of_Denmark
"Ferdinand_III,_Holy_Roman_Emperor","Leopold_I,_Holy_Roman_Emperor"
Abd_Allah_ibn_Abd_al-Latif_Al_ash-Sheikh,Ibn_Saud
Janet_Dean_Fodor,Noam_Chomsky
Hussain_Muhammad_Ershad,Ziaur_Rahman
Elisabeth_of_France_(1602–1644),Philip_IV_of_Spain
Henry_V_of_Luxembourg,"Henry_VI,_Count_of_Luxembourg"
David_Hume,Albert_Einstein
"Thomas_Townshend,_1st_Viscount_Sydney",George_III_of_the_United_Kingdom
Leopold_Hasner_von_Artha,Franz_Joseph_I_of_Austria
Augustus_II_the_Strong,"Johann_Georg,_Chevalier_de_Saxe"
"Alix,_Princess_Napoléon","Louis,_Prince_Napoléon"
Pyinsa_Kalayani,Anawrahta
Debsirindra,Mongkut
Rebecca_Roberts,William_C._C._Claiborne
"Leopold_II,_Grand_Duke_of_Tuscany",Princess_Maria_Antonia_of_the_Two_Sicilies
"Margaret_Clifford,_Countess_of_Derby","Ferdinando_Stanley,_5th_Earl_of_Derby"
"Raymond_Grant,_11th_Baron_de_Longueuil","Michael_Grant,_12th_Baron_de_Longueuil"
Irina_Paley,Prince_Michael_Feodorovich_of_Russia
Marcin_Kazanowski,Mikołaj_Potocki
"Frederick_I,_Margrave_of_Brandenburg-Ansbach",Sophie_of_Brandenburg-Ansbach-Kulmbach
Laodice_IV,Seleucus_IV_Philopator
Frances_Anne_Edgeworth,Francis_Beaufort
Marion_Stein,"David_Lascelles,_8th_Earl_of_Harewood"
Mohammed_Adil_Shah,Ali_Adil_Shah_II
"Prince_Andrew,_Duke_of_York","Prince_Edward,_Earl_of_Wessex"
Peter_the_Great,"Alexei_Petrovich,_Tsarevich_of_Russia"
John_Chalker_Crosbie,George_V
Virginia_Knauer,Gerald_Ford
Świętosława,Olof_Skötkonung
Devi_(Ashoka's_wife),Ashoka
Sophia_Eleonore_of_Saxony,Landgravine_Elisabeth_Amalie_of_Hesse-Darmstadt
"Alexandra,_Countess_of_Frederiksborg",Prince_Joachim_of_Denmark
Maham_Begum,Babur
Charles_IV_of_France,Philip_VI_of_France
Humphrey_Bogart,Mary_Philips
Harold_Bernard_St._John,Elizabeth_II
Jan_Hendrik_Hofmeyr_(Onze_Jan),Edward_VII
"Jim_Parks_(cricketer,_born_1931)",Mansoor_Ali_Khan_Pataudi
Victor_Amadeus_III_of_Sardinia,Princess_Maria_Theresa_of_Savoy
Steve_Whitmire,Jim_Henson
Robert_Campbell_(New_York_politician),Henry_R._Selden
"Wenceslaus_I,_Duke_of_Luxembourg","Joanna,_Duchess_of_Brabant"
Dirk_Kempthorne,George_W._Bush
"Mohamed_Bolkiah,_Prince_of_Brunei",Hassanal_Bolkiah
Prince_Valdemar_of_Denmark,Prince_Axel_of_Denmark
Bertha_of_Swabia,Hugh_of_Italy
"William_Mackenzie,_1st_Baron_Amulree",George_V
Jens_Bratlie,Haakon_VII_of_Norway
"Elizabeth_Somerset,_Baroness_Herbert","Charles_Somerset,_1st_Earl_of_Worcester"
William_Berkeley_(governor),Charles_II_of_England
William_II_of_the_Netherlands,Prince_Ernest_Casimir_of_the_Netherlands
Iuenka,Khufu
Richard_de_Willoughby,"Henry,_3rd_Earl_of_Lancaster"
24th_Ruler,Nuun_Ujol_Chaak
Robert_Gottlieb,William_Shawn
Gummo_Marx,Groucho_Marx
Pixie_Geldof,Hughie_Green
William_French_Smith,Ronald_Reagan
"Joan_of_Valois,_Countess_of_Hainaut","Margaret_II,_Countess_of_Hainaut"
Bob_Marley,Sharon_Marley
Charles_Albert_of_Sardinia,Victor_Emmanuel_II_of_Italy
Laurence_Jones,Timothy_Daunt
"Casimir,_Margrave_of_Brandenburg-Bayreuth",Susanna_of_Bavaria
Anna_Lubomirska_(died_1763),Wacław_Rzewuski
Thomas_Kwok,Walter_Kwok
"Charles_Gravier,_comte_de_Vergennes",Louis_XV_of_France
"Arthur_Annesley,_11th_Viscount_Valentia",Edward_VII
Richenza_of_Northeim,"Beatrice_I,_Countess_of_Burgundy"
"Thomas_Brassey,_1st_Earl_Brassey",Queen_Victoria
Procopius_(usurper),Valentinian_I
Perdiccas_II_of_Macedon,Archelaus_I_of_Macedon
David_Kahalepouli_Piikoi,David_Kawānanakoa
Christian_IV_of_Denmark,"Frederick_III,_Duke_of_Holstein-Gottorp"
Walter_Moyle,"Sir_John_Carew,_3rd_Baronet"
"Infanta_Elena,_Duchess_of_Lugo",Felipe_de_Marichalar_y_Borbón
Prince_Alexander_of_Hesse_and_by_Rhine_(1823–1888),Prince_Louis_of_Battenberg
Manuel_Vieira_de_Albuquerque_Touvar,Maria_II_of_Portugal
Ed_Gillespie,George_W._Bush
"Edmund_Mortimer,_3rd_Earl_of_March","Roger_Mortimer,_4th_Earl_of_March"
Fyodor_Aleksandrovich_Golovin,Nicholas_II_of_Russia
Joseph_Royal,Queen_Victoria
"William_I,_Margrave_of_Meissen","Frederick_III,_Landgrave_of_Thuringia"
"Elizabeth_de_Berkeley,_Countess_of_Warwick","Margaret_Beauchamp,_Countess_of_Shrewsbury"
Al-Muzaffar_Umar,Saladin
Théodolinde_de_Beauharnais,"Wilhelm,_Duke_of_Urach"
Dennis_DeConcini,John_McCain
"Ernest_Louis,_Landgrave_of_Hesse-Darmstadt",Friederike_Charlotte_of_Hesse-Darmstadt
Rana_Talia_Muhammad_Khan,Queen_Victoria
"Baldwin_I,_Latin_Emperor",Marie_of_Champagne
James_Dunsmuir,Queen_Victoria
Joséphine_de_Beauharnais,Alexandre_de_Beauharnais
Paula_Cox,Elizabeth_II
Cadafael_Cadomedd_ap_Cynfeddw,Cadwallon_ap_Cadfan
Kamehameha_I,Keōpūolani
Elisabeth_Dorothea_of_Saxe-Gotha-Altenburg,Friedrich_von_Hessen-Darmstadt_(1677–1708)
Jack_Wiebe,Elizabeth_II
Catherine_de'_Medici,"Francis,_Duke_of_Anjou"
"Karl_August,_10th_Prince_of_Thurn_and_Taxis","Johannes,_11th_Prince_of_Thurn_and_Taxis"
Prince_Luís_of_Orléans-Braganza_(1878–1920),Prince_Pedro_Henrique_of_Orléans-Braganza
Tina_Knowles,Richard_Lawson_(actor)
Andrés_Alcaraz,Philip_III_of_Spain
"Henry_Brougham,_1st_Baron_Brougham_and_Vaux",William_IV_of_the_United_Kingdom
Thomas_Sowell,Karl_Marx
Aly_Zaker,Sara_Zaker
Kawada_Koichiro,Emperor_Meiji
Sarit_Thanarat,Bhumibol_Adulyadej
James_T._McIntyre,Jimmy_Carter
"Valerie,_Margravine_of_Baden","Maximilian,_Margrave_of_Baden"
Kekuiapoiwa_II,Kamehameha_I
Bill_Skarsgård,Alexander_Skarsgård
Malcolm_MacDonald,George_VI
Charles_Breckenridge_Faris,Woodrow_Wilson
Lawrence_Summers,Bill_Clinton
Empress_Matilda,Henry_II_of_England
"Ernest_Frederick,_Duke_of_Saxe-Coburg-Saalfeld","Francis,_Duke_of_Saxe-Coburg-Saalfeld"
Eleonore_of_Löwenstein-Wertheim,"Ernest_Leopold,_Landgrave_of_Hesse-Rotenburg"
Charles_Morelle_Bruce,Grover_Cleveland
Princess_Maria_Josepha_of_Saxony_(1867–1944),Charles_I_of_Austria
Louis_XIII_of_France,Louis_XIV_of_France
Johanna_von_Puttkamer,Otto_von_Bismarck
"John,_Landgrave_of_Lower_Hesse","Otto_I,_Landgrave_of_Hesse"
Joan_Barry_(American_actress),Charlie_Chaplin
"William_III,_Count_of_Toulouse",Emma_of_Provence
Sejong_the_Great,Munjong_of_Joseon
Tadj_ol-Molouk,Ashraf_Pahlavi
"Richard_Edgcumbe,_2nd_Earl_of_Mount_Edgcumbe",George_III_of_the_United_Kingdom
Abdul_Rahman_bin_Faisal,Ibn_Saud
Amy_Robsart,"Robert_Dudley,_1st_Earl_of_Leicester"
Paul_Cook_(politician),Nancy_Pelosi
"Irene_Palaiologina,_Empress_of_Bulgaria",Maria_Palaiologina_Kantakouzene
Hor_Namhong,Norodom_Sihanouk
Eric_II_of_Denmark,Eric_III_of_Denmark
"Louis_Alexandre,_Count_of_Toulouse",Marie_Victoire_de_Noailles
John_C._Shabaz,Ronald_Reagan
"Edmund_Sheffield,_1st_Earl_of_Mulgrave","Emanuel_Scrope,_1st_Earl_of_Sunderland"
Tanzan_Ishibashi,Hirohito
Priyanka_Gandhi,Rahul_Gandhi
Growth_of_Pedro_II_of_Brazil,Teresa_Cristina_of_the_Two_Sicilies
Duke_Shēn_of_Chen,Duke_Xiao_of_Chen
Abu_Ahmed_al-Kuwaiti,Osama_bin_Laden
Nicholas_Kont,Vladislaus_II_of_Opole
Edith_Ewing_Bouvier_Beale,Phelan_Beale
John_of_Gaunt,"Constance_of_Castile,_Duchess_of_Lancaster"
Henry_VIII_of_England,Henry_VIII_of_England
Richard_W._Goldberg,George_H._W._Bush
Julio_César_Turbay_Ayala,Virgilio_Barco_Vargas
Elisabeth_Dorothea_of_Saxe-Gotha-Altenburg,"Louis_VI,_Landgrave_of_Hesse-Darmstadt"
"Elisabeth_of_Bavaria,_Queen_of_Belgium",Marie_José_of_Belgium
John_of_Bohemia,"Charles_IV,_Holy_Roman_Emperor"
Mary_Anderson_(labor_leader),Woodrow_Wilson
Philip_IV_of_France,Joan_I_of_Navarre
"Raimundo,_2nd_Duke_of_Castel_Duino",Princess_Eugénie_of_Greece_and_Denmark
Nayef_bin_Abdul-Aziz_Al_Saud,Sultan_bin_Abdulaziz
Phoebe_Ephron,Henry_Ephron
Fatimah_bint_Sa'd,Qusai_ibn_Kilab
Gegeen_Khan,Yesün_Temür_(Yuan_dynasty)
Robert_Drury_(died_1577),Drue_Drury_(courtier)
Pasqual_Enrile_y_Alcedo,Ferdinand_VII_of_Spain
"Henry_Dundas,_1st_Viscount_Melville",George_III_of_the_United_Kingdom
"Christian_Albert,_Duke_of_Holstein-Gottorp",Christian_V_of_Denmark
Barbara_T._Bowman,James_E._Bowman
Francis_I_of_France,Eleanor_of_Austria
Ludwig_III_of_Bavaria,"Rupprecht,_Crown_Prince_of_Bavaria"
Kangxi_Emperor,"Yunzhi,_Prince_Zhi"
Constantine_Kanaris,George_I_of_Greece
Clarence_M._Kelley,Gerald_Ford
Mustafa_Demir,Recep_Tayyip_Erdoğan
Theophanu,"Matilda_of_Germany,_Countess_Palatine_of_Lotharingia"
Giovanni_Visconti_(archbishop_of_Milan),Bernabò_Visconti
"John_Adolf,_Duke_of_Holstein-Gottorp","Philip,_Duke_of_Holstein-Gottorp"
Zsa_Zsa_Gabor,Jack_Ryan_(designer)
Anne_Gonzaga,Anne_Henriette_of_Bavaria
Mishaal_bin_Saud_Al_Saud,Abdullah_of_Saudi_Arabia
Alfonso_of_Aragon_(1481–1500),Rodrigo_of_Aragon
Thored,Ælfgifu_of_York
Kamehameha_IV,Kamehameha_III
Sukhumala_Marasri,Chulalongkorn
"Dietrich,_Count_of_Oldenburg",Christian_I_of_Denmark
"Gerhard_I,_Count_of_Holstein-Itzehoe","Gerhard_II,_Count_of_Holstein-Plön"
Princess_Louise_of_Schleswig-Holstein-Sonderburg-Glücksburg,"George_Victor,_Prince_of_Waldeck_and_Pyrmont"
Betsy_McCaughey,Mario_Cuomo
Thomas_Simpson_Sproule,George_V
Prince_Dimitri_Romanov,Prince_Andrew_Romanov
David_VI_of_Georgia,David_VII_of_Georgia
Samuel_Laing_(science_writer),"Thomas_Fremantle,_2nd_Baron_Cottesloe"
Thomas_Koppel,Annisette_Koppel
Martin_Garzez,Philip_III_of_Spain
James_W._Ross,Brian_Mulroney
"Henri,_Prince_of_Condé_(1552–1588)",Charlotte_Catherine_de_La_Trémoille
Gustav_III_of_Sweden,Sophia_Magdalena_of_Denmark
Felice_Picano,Ernest_Hemingway
Carmen_Beauchamp_Ciparick,Mario_Cuomo
Manuel_II_Palaiologos,John_VIII_Palaiologos
Andronikos_I_Komnenos,Isaac_II_Angelos
Hunter_Carson,Gail_Brown
Jan_Zamoyski,Barbara_Tarnowska
George_IV_of_the_United_Kingdom,Edward_VII
Dawsonne_Drake,George_III_of_the_United_Kingdom
"Ernest_Leopold,_Landgrave_of_Hesse-Rotenburg",Polyxena_of_Hesse-Rotenburg
Harriet_Hemings,James_Hemings
Lee_MacPhail,Andy_MacPhail
Shō_Kinpuku,Shō_Taikyū
Paul_Wolfowitz,George_H._W._Bush
Empress_Elisabeth_of_Austria,Franz_Joseph_I_of_Austria
"Henry_McLaren,_2nd_Baron_Aberconway","George_Lloyd,_1st_Baron_Lloyd"
Atula_Dewi_of_Prome,Shin_Myat_Hla_of_Prome
Karol_Stanisław_Radziwiłł_(1669–1719),Anna_Katarzyna_Sanguszko
Robert_Adair_(politician),William_IV_of_the_United_Kingdom
Hedwig_of_Holstein,Ingeborg_Magnusdotter_of_Sweden
Louis_VIII_of_France,"Robert_I,_Count_of_Artois"
"Augustus,_Elector_of_Saxony",Elisabeth_of_Saxony
George_Washington_Bolton,James_W._Bolton
Konstantinos_Tsaldaris,Paul_of_Greece
Michael_Thomas_Bass,Frederick_Leveson-Gower_(Bodmin)
Janet_Sheen,Martin_Sheen
Charles_of_Mecklenburg-Güstrow,Marie_Amalie_of_Brandenburg
Abdullah_Badruddin,Taher_Saifuddin
Ladislaus_II_of_Hungary,"Stephen,_Duke_of_Bosnia"
Muteesa_I_of_Buganda,Mwanga_II_of_Buganda
"Louis,_Duke_of_Savoy",Anne_of_Cyprus
"Ernest_I,_Prince_of_Anhalt-Dessau","John_V,_Prince_of_Anhalt-Zerbst"
"Frederick_I,_Duke_of_Saxe-Gotha-Altenburg",Anna_Sophie_of_Saxe-Gotha-Altenburg
"George_Ramsay,_9th_Earl_of_Dalhousie",William_IV_of_the_United_Kingdom
Infanta_Maria_Antonia_of_Portugal,"Robert_I,_Duke_of_Parma"
Edgar_the_Peaceful,Æthelred_the_Unready
Ippolita_Maria_Sforza,Ferdinand_II_of_Naples
Amine_Gemayel,Joyce_Gemayel
Charles_Mitchell_(governor),Queen_Victoria
Peter_II_of_Courtenay,Yolanda_of_Flanders
Keawemauhili,Kapiʻolani_(chiefess)
Solomon_P._Sharp,Joseph_Desha
"Albert,_12th_Prince_of_Thurn_and_Taxis",Prince_Max_Emanuel_of_Thurn_and_Taxis_(b._1935)
"Sancha_of_Castile,_Queen_of_Navarre",Sancho_VI_of_Navarre
"Vitório_Maria_de_Sousa_Coutinho,_2nd_Count_of_Linhares",Maria_II_of_Portugal
Rostom_of_Kartli,Vakhtang_V_of_Kartli
"Bernard_I,_Duke_of_Saxony","Bernard_II,_Duke_of_Saxony"
Margaret_of_Brieg,Katherine_of_Bavaria
Enrique_Peña_Nieto,Angélica_Rivera
Sally_Spectra,William_J._Bell
"Stephen,_Count_Palatine_of_Simmern-Zweibrücken","Anna_of_Veldenz,_Countess_Palatine_of_Simmern-Zweibrücken"
Augustus_Clifford,Queen_Victoria
"Maud_de_Badlesmere,_Countess_of_Oxford","Thomas_de_Vere,_8th_Earl_of_Oxford"
"Charles_I,_Landgrave_of_Hesse-Kassel",George_Charles_of_Hesse-Kassel
Gédéon_Ouimet,Queen_Victoria
Allen_G._Schwartz,Bill_Clinton
Alexander_Skarsgård,Bill_Skarsgård
Thomas_Grenville,George_III_of_the_United_Kingdom
Al_Bolton,George_Washington_Bolton
"John_Frederick_of_Holstein-Gottorp,_Prince-Bishop",Frederick_III_of_Denmark
Clementia_of_Zähringen,Gertrude_of_Bavaria
Frederick_Peters,Queen_Victoria
Raja_Raja_Chola_I,Rajendra_Chola_I
"Maria_Theresa_of_Austria-Este,_Queen_of_Sardinia",Maria_Beatrice_of_Savoy
Cerball_mac_Dúnlainge,Riagan_mac_Dúnlainge
Blair_Parry-Okeden,James_M._Cox
Joseph_M._McCormick,Ruth_Hanna_McCormick
"John_de_Mowbray,_4th_Baron_Mowbray","Thomas_de_Mowbray,_1st_Duke_of_Norfolk"
"Louis_Alexandre,_Prince_of_Lamballe",Princess_Marie_Louise_of_Savoy
Constantin_Prezan,Ferdinand_I_of_Romania
Jyothika,Sivakumar
Pat_Morton,Elizabeth_II
"John_Hobhouse,_1st_Baron_Broughton",Queen_Victoria
Lincoln_Gordon,Jack_Vaughn
Unen_Bahlam,K'inich_Muwaan_Jol
Michel_Pastor,Philippe_Pastor
Takeo_Miki,Hirohito
Jack_Huston,Anjelica_Huston
Berengaria_of_Portugal,Eric_IV_of_Denmark
"Prince_Alfonso,_Count_of_Caserta",Princess_Maria_Antonietta_of_Bourbon-Two_Sicilies
Alfred_Gwynne_Vanderbilt_I,Alfred_Gwynne_Vanderbilt_II
Mahmud_I,Ahmed_III
Marie_of_Lorraine,Catherine_Charlotte_de_Gramont
"Maria_of_Castile,_Queen_of_Aragon",Eleanor_of_Alburquerque
Agnes_of_Brunswick-Lüneburg,"Bogislaw_VI,_Duke_of_Pomerania"
Isaac_McKim,George_Corbin_Washington
Stanisław_August_Poniatowski,Augustus_III_of_Poland
Emperor_Zhezong,Emperor_Huizong_of_Song
"George_William,_Prince_of_Schaumburg-Lippe","Adolf_I,_Prince_of_Schaumburg-Lippe"
Raghavendra_Rajkumar,Vinay_Rajkumar
"William_I,_German_Emperor","Adolphe,_Grand_Duke_of_Luxembourg"
Infanta_Maria_Anna_of_Portugal_(1843–1884),Princess_Maria_Josepha_of_Saxony_(1867–1944)
"Otto,_Duke_of_Lower_Lorraine","Charles,_Duke_of_Lower_Lorraine"
"Joan,_Duchess_of_Brittany","John_IV,_Duke_of_Brittany"
"George_Ramsay,_9th_Earl_of_Dalhousie",William_IV_of_the_United_Kingdom
Pepin_of_Herstal,Berthar
Guy_Grantham,"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma"
Grand_Duke_Alexander_Mikhailovich_of_Russia,Grand_Duchess_Xenia_Alexandrovna_of_Russia
Archduke_Franz_Karl_of_Austria,Franz_Joseph_I_of_Austria
Henry_Sewell,Queen_Victoria
Princess_Esra,Mukarram_Jah
"John_Ramsay,_1st_Earl_of_Holderness","Charles_Howard,_1st_Earl_of_Nottingham"
"Frederick_Augustus,_Duke_of_Nassau","William,_Duke_of_Nassau"
"Marie_I,_Countess_of_Boulogne","Matthew,_Count_of_Boulogne"
"George_Cadogan,_5th_Earl_Cadogan",Edward_VII
William_J._Baroody_Jr.,Richard_Nixon
"Elvira_of_Castile,_Queen_of_León",Bermudo_II_of_León
Arinjaya_Chola,Gandaraditya
Philip_S._Lee,Elizabeth_II
Pedro_II_of_Brazil,Teresa_Cristina_of_the_Two_Sicilies
"John_I,_Count_of_Foix","Gaston_IV,_Count_of_Foix"
Sonni_Baru,Askia_Mohammad_I
Bolesław_IV_the_Curly,Mieszko_III_the_Old
Maria_Alexandrovna_(Marie_of_Hesse_and_by_Rhine),Alexander_II_of_Russia
Harjol,Hong_Taiji
Hürrem_Kadınefendi,Ahmed_III
Caitlyn_Jenner,Kris_Jenner
Emperor_Xuanzong_of_Tang,Li_Mao
Herbert_Davis,Elizabeth_Cutter_Morrow
Bindi_Irwin,Peta_Murgatroyd
"Walter_Devereux,_1st_Earl_of_Essex","Dorothy_Percy,_Countess_of_Northumberland"
Louis_III_of_France,Carloman_II
Maria_Sophia_of_Neuburg,John_V_of_Portugal
Charles_II_of_England,James_II_of_England
"Geoffrey_II,_Duke_of_Brittany","Constance,_Duchess_of_Brittany"
Namahana_Piia,Keeaumoku_Pāpaiahiahi
Il-Arslan,Sultan_Shah_of_Khwarezm
Prateik_Babbar,Nadira_Babbar
Arnold_Lewis_Raphel,Ronald_Reagan
"Charles_Howard,_1st_Earl_of_Nottingham","Edward_Clinton,_1st_Earl_of_Lincoln"
Sultan_Abdullah_Mu'adzam_Shah,Sultan_Ahmad_Tajuddin_Halim_Shah_I
Richard_Chichester_Mason,George_Mason
"Antigone_of_Gloucester,_Countess_of_Tankerville","Richard_Grey,_3rd_Earl_of_Tankerville"
Sri_Gupta,Ghatotkacha_(king)
Richard_Edgcumbe_(died_1639),Samuel_Rolle_(died_1647)
"John_Russell,_4th_Duke_of_Bedford","William_Cavendish,_4th_Duke_of_Devonshire"
Lynn_Swann,George_W._Bush
William_MacGregor,George_V
Teofisto_Guingona_Jr.,Corazon_Aquino
Nancy_Lincoln,Thomas_Lincoln
Louis_XVIII_of_France,Charles_X_of_France
Myat_Phaya,Myat_Paya_Lat
William_Collins_(bishop),Arthur_L._Collins
"Charles_Metcalfe,_1st_Baron_Metcalfe",Queen_Victoria
"Marie_Anne_de_Bourbon,_Duchess_of_Vendôme",Louise_Élisabeth_de_Bourbon
Playing_with_the_Enemy,John_Wayne
Queen_Saleha_of_Brunei,Hassanal_Bolkiah
Ezra_Zilkha,Selim_Zilkha
Ireland_Baldwin,Daniel_Baldwin
Melanie_Griffith,Steven_Bauer
"George_Boleyn,_2nd_Viscount_Rochford","Jane_Boleyn,_Viscountess_Rochford"
"Conrad_II,_Duke_of_Bohemia",Hellicha_of_Wittelsbach
Selim_II,Murad_III
Jahangir,Nur_Jahan
Manuel_Palaiologos,Manuel_II_Palaiologos
Salman_of_Saudi_Arabia,Faisal_bin_Salman_bin_Abdulaziz_Al_Saud
Thomas_Hale_Boggs_Jr.,Steven_V._Roberts
James_III_of_Scotland,James_IV_of_Scotland
Major_Rohde_Hawkins,Edward_Blore
"Henry_Somerset,_5th_Duke_of_Beaufort","John_Manners,_5th_Duke_of_Rutland"
Dhirubhai_Ambani,Mukesh_Ambani
Henry_IV_of_England,"Humphrey,_Duke_of_Gloucester"
Sophie_of_Mecklenburg-Güstrow,Frederick_II_of_Denmark
George_Stracey_Smyth,George_III_of_the_United_Kingdom
Jerry_Mateparae,Elizabeth_II
Just_de_Noailles,Charles_Arthur_Tristan_Languedoc_de_Noailles
Bairam_Khan,Akbar
Roman_Coppola,Gia_Coppola
Esmat_Dowlatshahi,Reza_Shah
