0.4  negspouse(1 ,A ,B)  :-  president(C ,B)   ,  region(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(505 ,A ,B)  :-  almaMater(A ,C)   ,  almaMater(D ,C)   ,  successor(B ,D).
0.4  negspouse(506 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(507 ,A ,B)  :-  predecessor(A ,C)   ,  primeMinister(C ,D)   ,  predecessor(D ,B).
0.39  negspouse(508 ,A ,B)  :-  relation(C ,B)   ,  spouse(D ,A)   ,  C=D.
0.4  negspouse(509 ,A ,B)  :-  successor(C ,A)   ,  predecessor(A ,C)   ,  parent(B ,A).
0.39  negspouse(510 ,A ,B)  :-  child(B ,C)   ,  successor(D ,A)   ,  D=C.
0.39  negspouse(511 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  parent(A ,D).
0.4  negspouse(512 ,A ,B)  :-  predecessor(C ,A)   ,  president(C ,D)   ,  successor(B ,D).
0.39  negspouse(513 ,A ,B)  :-  predecessor(A ,C)   ,  deathPlace(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(514 ,A ,B)  :-  birthPlace(A ,C)   ,  residence(D ,C)   ,  president(D ,B).
0.4  negspouse(515 ,A ,B)  :-  successor(B ,C)   ,  successor(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(516 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(C ,D)   ,  successor(D ,B).
0.4  negspouse(517 ,A ,B)  :-  deathDate(B ,C)   ,  activeYearsEndDate(A ,D)   ,  C<D.
0.4  negspouse(518 ,A ,B)  :-  orderInOffice(B ,C)   ,  office(D ,C)   ,  successor(A ,D).
0.39  negspouse(519 ,A ,B)  :-  primeMinister(B ,C)   ,  spouse(A ,D)   ,  C=D.
0.4  negspouse(520 ,A ,B)  :-  birthPlace(A ,C)   ,  restingPlace(D ,C)   ,  parent(B ,D).
0.4  negspouse(521 ,A ,B)  :-  successor(A ,C)   ,  residence(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(522 ,A ,B)  :-  parent(C ,A)   ,  relative(C ,B).
0.4  negspouse(523 ,A ,B)  :-  predecessor(A ,C)   ,  successor(D ,C)   ,  successor(B ,D).
0.4  negspouse(524 ,A ,B)  :-  predecessor(A ,C)   ,  president(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(526 ,A ,B)  :-  child(C ,B)   ,  child(C ,D)   ,  parent(D ,A).
0.39  negspouse(527 ,A ,B)  :-  termPeriod(B ,C)   ,  president(A ,D)   ,  C=D.
0.4  negspouse(528 ,A ,B)  :-  office(A ,C)   ,  office(D ,C)   ,  predecessor(B ,D).
0.39  negspouse(529 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  successor(D ,A).
0.39  negspouse(530 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  successor(D ,B).
0.4  negspouse(531 ,A ,B)  :-  relative(A ,C)   ,  relative(C ,D)   ,  relative(D ,B).
0.39  negspouse(532 ,A ,B)  :-  predecessor(A ,C)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(533 ,A ,B)  :-  predecessor(A ,C)   ,  primeMinister(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(534 ,A ,B)  :-  successor(A ,C)   ,  parent(C ,A)   ,  parent(A ,B).
0.4  negspouse(535 ,A ,B)  :-  successor(C ,B)   ,  predecessor(D ,C)   ,  successor(D ,A).
0.4  negspouse(536 ,A ,B)  :-  predecessor(B ,C)   ,  successor(C ,D)   ,  successor(A ,D).
0.4  negspouse(537 ,A ,B)  :-  successor(C ,A)   ,  president(C ,D)   ,  successor(D ,B).
0.4  negspouse(538 ,A ,B)  :-  child(B ,A)   ,  spouse(C ,B)   ,  child(C ,A).
0.4  negspouse(539 ,A ,B)  :-  predecessor(C ,B)   ,  almaMater(C ,D)   ,  almaMater(A ,D).
0.4  negspouse(540 ,A ,B)  :-  successor(C ,A)   ,  primeMinister(C ,D)   ,  successor(D ,B).
0.4  negspouse(541 ,A ,B)  :-  monarch(C ,A)   ,  birthPlace(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(542 ,A ,B)  :-  birthPlace(A ,C)   ,  restingPlace(D ,C)   ,  spouse(D ,B).
0.4  negspouse(543 ,A ,B)  :-  successor(C ,B)   ,  successor(C ,D)   ,  successor(D ,A).
0.4  negspouse(544 ,A ,B)  :-  predecessor(C ,A)   ,  parent(C ,A)   ,  parent(A ,B).
0.39  negspouse(545 ,A ,B)  :-  spouse(C ,A)   ,  president(D ,B)   ,  D=C.
0.4  negspouse(546 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,A)   ,  predecessor(A ,B).
0.39  negspouse(547 ,A ,B)  :-  party(A ,C)   ,  party(D ,C)   ,  successor(D ,B).
0.39  negspouse(548 ,A ,B)  :-  party(B ,C)   ,  party(D ,C)   ,  successor(D ,A).
0.4  negspouse(549 ,A ,B)  :-  successor(C ,B)   ,  predecessor(B ,C)   ,  successor(B ,A).
0.39  negspouse(550 ,A ,B)  :-  president(A ,C)   ,  termPeriod(B ,D)   ,  D=C.
0.39  negspouse(551 ,A ,B)  :-  president(A ,C)   ,  successor(D ,B)   ,  D=C.
0.4  negspouse(552 ,A ,B)  :-  predecessor(B ,C)   ,  predecessor(D ,C)   ,  successor(A ,D).
0.4  negspouse(553 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(B ,C)   ,  successor(B ,A).
0.4  negspouse(554 ,A ,B)  :-  successor(B ,C)   ,  country(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(555 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(D ,C)   ,  parent(D ,B).
0.39  negspouse(556 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  parent(D ,A).
0.39  negspouse(557 ,A ,B)  :-  president(B ,C)   ,  party(C ,D)   ,  party(A ,D).
0.4  negspouse(558 ,A ,B)  :-  religion(B ,C)   ,  religion(D ,C)   ,  successor(A ,D).
0.4  negspouse(559 ,A ,B)  :-  associatedBand(C ,B)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(560 ,A ,B)  :-  successor(B ,C)   ,  president(D ,C)   ,  successor(A ,D).
0.4  negspouse(561 ,A ,B)  :-  successor(B ,C)   ,  successor(A ,C).
0.4  negspouse(562 ,A ,B)  :-  birthPlace(B ,C)   ,  headquarter(D ,C)   ,  party(A ,D).
0.4  negspouse(563 ,A ,B)  :-  successor(B ,C)   ,  primeMinister(D ,C)   ,  successor(A ,D).
0.39  negspouse(564 ,A ,B)  :-  party(A ,C)   ,  party(D ,C)   ,  president(B ,D).
0.4  negspouse(565 ,A ,B)  :-  activeYearsEndYear(A ,C)   ,  activeYearsEndYear(D ,C)   ,  parent(B ,D).
0.4  negspouse(566 ,A ,B)  :-  predecessor(C ,A)   ,  successor(D ,C)   ,  successor(D ,B).
0.4  negspouse(567 ,A ,B)  :-  relative(C ,A)   ,  relative(B ,C)   ,  relative(B ,A).
0.39  negspouse(568 ,A ,B)  :-  birthPlace(B ,C)   ,  country(D ,C)   ,  party(A ,D).
0.39  negspouse(569 ,A ,B)  :-  president(A ,C)   ,  successor(B ,D)   ,  C=D.
0.4  negspouse(570 ,A ,B)  :-  president(C ,B)   ,  residence(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(571 ,A ,B)  :-  predecessor(A ,B)   ,  successor(B ,A).
0.4  negspouse(572 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(A ,C).
0.4  negspouse(573 ,A ,B)  :-  successor(B ,A)   ,  office(B ,C)   ,  C=C.
0.39  negspouse(574 ,A ,B)  :-  deathDate(B ,C)   ,  activeYearsEndDate(A ,D)   ,  C>D.
0.4  negspouse(575 ,A ,B)  :-  relative(C ,B)   ,  relative(D ,A)   ,  C=D.
0.39  negspouse(576 ,A ,B)  :-  successor(B ,C)   ,  president(A ,D)   ,  C=D.
0.4  negspouse(577 ,A ,B)  :-  birthPlace(A ,C)   ,  restingPlace(B ,C).
0.4  negspouse(578 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(C ,D)   ,  successor(A ,D).
0.4  negspouse(579 ,A ,B)  :-  birthPlace(A ,C)   ,  country(D ,C)   ,  successor(D ,B).
0.4  negspouse(580 ,A ,B)  :-  successor(A ,C)   ,  predecessor(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(581 ,A ,B)  :-  predecessor(A ,C)   ,  office(C ,D)   ,  office(B ,D).
0.4  negspouse(582 ,A ,B)  :-  relative(C ,A)   ,  relative(A ,C)   ,  relative(A ,B).
0.38  negspouse(583 ,A ,B)  :-  predecessor(C ,B)   ,  predecessor(D ,A)   ,  C=D.
0.4  negspouse(584 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(C ,D)   ,  successor(B ,D).
0.4  negspouse(585 ,A ,B)  :-  successor(C ,B)   ,  primeMinister(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(586 ,A ,B)  :-  successor(C ,A)   ,  orderInOffice(C ,D)   ,  orderInOffice(B ,D).
0.4  negspouse(587 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,B)   ,  predecessor(B ,A).
0.39  negspouse(588 ,A ,B)  :-  country(A ,C)   ,  country(D ,C)   ,  birthPlace(B ,D).
0.4  negspouse(589 ,A ,B)  :-  successor(C ,B)   ,  orderInOffice(C ,D)   ,  office(A ,D).
0.4  negspouse(590 ,A ,B)  :-  predecessor(A ,C)   ,  predecessor(C ,D)   ,  successor(B ,D).
0.4  negspouse(591 ,A ,B)  :-  spouse(B ,C)   ,  successor(C ,D)   ,  spouse(D ,A).
0.39  negspouse(592 ,A ,B)  :-  spouse(A ,C)   ,  successor(C ,D)   ,  spouse(D ,B).
0.4  negspouse(593 ,A ,B)  :-  relative(C ,B)   ,  relative(A ,C)   ,  relative(A ,B).
0.4  negspouse(594 ,A ,B)  :-  successor(C ,B)   ,  primeMinister(C ,D)   ,  successor(A ,D).
0.38  negspouse(595 ,A ,B)  :-  activeYearsEndYear(A ,C)   ,  activeYearsStartYear(B ,D)   ,  C<D.
0.4  negspouse(596 ,A ,B)  :-  predecessor(C ,A)   ,  president(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(597 ,A ,B)  :-  deathPlace(B ,C)   ,  deathPlace(A ,C)   ,  predecessor(A ,B).
0.4  negspouse(598 ,A ,B)  :-  office(A ,C)   ,  orderInOffice(B ,C)   ,  C=C.
0.4  negspouse(599 ,A ,B)  :-  successor(A ,C)   ,  president(C ,D)   ,  predecessor(D ,B).
0.39  negspouse(600 ,A ,B)  :-  relative(C ,B)   ,  relative(C ,D)   ,  child(A ,D).
0.4  negspouse(601 ,A ,B)  :-  spouse(A ,C)   ,  child(C ,B).
0.4  negspouse(602 ,A ,B)  :-  successor(C ,A)   ,  successor(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(603 ,A ,B)  :-  parent(B ,C)   ,  restingPlace(C ,D)   ,  restingPlace(A ,D).
0.4  negspouse(604 ,A ,B)  :-  parent(A ,C)   ,  activeYearsEndYear(C ,D)   ,  activeYearsEndYear(B ,D).
0.4  negspouse(605 ,A ,B)  :-  nationality(A ,C)   ,  nationality(D ,C)   ,  predecessor(D ,B).
0.39  negspouse(606 ,A ,B)  :-  predecessor(A ,C)   ,  child(B ,D)   ,  C=D.
0.39  negspouse(607 ,A ,B)  :-  monarch(C ,B)   ,  spouse(D ,A)   ,  C=D.
0.4  negspouse(608 ,A ,B)  :-  commander(C ,B)   ,  place(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(609 ,A ,B)  :-  monarch(C ,A)   ,  spouse(B ,D)   ,  C=D.
0.4  negspouse(610 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(B ,C)   ,  parent(B ,A).
0.4  negspouse(611 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  relative(B ,A).
0.4  negspouse(612 ,A ,B)  :-  successor(B ,A).
0.39  negspouse(613 ,A ,B)  :-  successor(B ,C)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(614 ,A ,B)  :-  president(B ,C)   ,  president(D ,C)   ,  successor(A ,D).
0.39  negspouse(615 ,A ,B)  :-  primeMinister(A ,C)   ,  spouse(B ,D)   ,  D=C.
0.4  negspouse(616 ,A ,B)  :-  predecessor(A ,C)   ,  parent(A ,C)   ,  parent(B ,A).
0.4  negspouse(617 ,A ,B)  :-  predecessor(C ,B)   ,  successor(D ,C)   ,  successor(A ,D).
0.4  negspouse(618 ,A ,B)  :-  restingPlace(A ,C)   ,  restingPlace(D ,C)   ,  parent(B ,D).
0.4  negspouse(619 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  predecessor(A ,B).
0.4  negspouse(620 ,A ,B)  :-  predecessor(C ,A)   ,  primeMinister(C ,D)   ,  successor(B ,D).
0.4  negspouse(621 ,A ,B)  :-  predecessor(C ,B)   ,  nationality(C ,D)   ,  nationality(A ,D).
0.4  negspouse(622 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(A ,C)   ,  parent(A ,B).
0.4  negspouse(623 ,A ,B)  :-  monarch(C ,B)   ,  birthPlace(C ,D)   ,  deathPlace(A ,D).
0.39  negspouse(624 ,A ,B)  :-  successor(B ,C)   ,  party(C ,D)   ,  party(A ,D).
0.4  negspouse(625 ,A ,B)  :-  successor(C ,A)   ,  predecessor(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(626 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  relative(B ,D).
0.4  negspouse(627 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  child(A ,B).
0.4  negspouse(628 ,A ,B)  :-  successor(C ,A)   ,  predecessor(A ,C)   ,  successor(A ,B).
0.4  negspouse(629 ,A ,B)  :-  birthPlace(A ,C)   ,  place(D ,C)   ,  commander(D ,B).
0.4  negspouse(630 ,A ,B)  :-  birthPlace(B ,C)   ,  place(D ,C)   ,  commander(D ,A).
0.39  negspouse(631 ,A ,B)  :-  successor(C ,A)   ,  party(C ,D)   ,  party(B ,D).
0.4  negspouse(632 ,A ,B)  :-  relative(B ,A).
0.4  negspouse(633 ,A ,B)  :-  successor(A ,B)   ,  predecessor(A ,B).
0.4  negspouse(634 ,A ,B)  :-  predecessor(C ,A)   ,  successor(C ,D)   ,  predecessor(B ,D).
0.4  negspouse(635 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(D ,C)   ,  successor(B ,D).
0.4  negspouse(636 ,A ,B)  :-  successor(C ,A)   ,  predecessor(A ,C)   ,  predecessor(A ,B).
0.4  negspouse(637 ,A ,B)  :-  monarch(C ,B)   ,  deathPlace(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(638 ,A ,B)  :-  successor(C ,A)   ,  predecessor(A ,C)   ,  parent(A ,B).
0.4  negspouse(639 ,A ,B)  :-  termPeriod(B ,C)   ,  office(C ,D)   ,  office(A ,D).
0.39  negspouse(640 ,A ,B)  :-  party(A ,C)   ,  party(D ,C)   ,  child(B ,D).
0.4  negspouse(641 ,A ,B)  :-  spouse(C ,B)   ,  spouse(B ,C)   ,  parent(B ,A).
0.4  negspouse(642 ,A ,B)  :-  successor(B ,C)   ,  primeMinister(D ,C)   ,  successor(D ,A).
0.4  negspouse(643 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(D ,C)   ,  successor(D ,B).
0.38  negspouse(644 ,A ,B)  :-  deathPlace(A ,C)   ,  birthPlace(D ,C)   ,  parent(B ,D).
0.4  negspouse(645 ,A ,B)  :-  parent(C ,A)   ,  child(D ,C)   ,  child(D ,B).
0.4  negspouse(646 ,A ,B)  :-  child(A ,C)   ,  parent(D ,B)   ,  C=D.
0.39  negspouse(647 ,A ,B)  :-  child(A ,C)   ,  relative(D ,B)   ,  C=D.
0.4  negspouse(648 ,A ,B)  :-  birthPlace(A ,C)   ,  leader(C ,D)   ,  president(D ,B).
0.39  negspouse(649 ,A ,B)  :-  deathPlace(B ,C)   ,  largestCity(D ,C)   ,  birthPlace(A ,D).
0.4  negspouse(650 ,A ,B)  :-  deathPlace(B ,C)   ,  birthPlace(D ,C)   ,  monarch(D ,A).
0.4  negspouse(651 ,A ,B)  :-  deathPlace(A ,C)   ,  birthPlace(D ,C)   ,  monarch(D ,B).
0.4  negspouse(652 ,A ,B)  :-  president(A ,C)   ,  president(D ,C)   ,  successor(D ,B).
0.4  negspouse(653 ,A ,B)  :-  parent(C ,B)   ,  parent(D ,A)   ,  C=D.
0.4  negspouse(654 ,A ,B)  :-  successor(C ,A)   ,  religion(C ,D)   ,  religion(B ,D).
0.39  negspouse(655 ,A ,B)  :-  successor(C ,A)   ,  birthPlace(C ,D)   ,  deathPlace(B ,D).
0.4  negspouse(656 ,A ,B)  :-  nationality(A ,C)   ,  birthPlace(D ,C)   ,  successor(B ,D).
0.4  negspouse(657 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(A ,C)   ,  predecessor(B ,A).
0.4  negspouse(658 ,A ,B)  :-  predecessor(B ,C)   ,  successor(C ,A).
0.39  negspouse(659 ,A ,B)  :-  almaMater(A ,C)   ,  country(C ,D)   ,  birthPlace(B ,D).
0.39  negspouse(660 ,A ,B)  :-  party(B ,C)   ,  party(D ,C)   ,  predecessor(A ,D).
0.39  negspouse(661 ,A ,B)  :-  party(B ,C)   ,  party(D ,C)   ,  successor(A ,D).
0.4  negspouse(663 ,A ,B)  :-  primeMinister(B ,C)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(664 ,A ,B)  :-  birthPlace(A ,C)   ,  country(B ,C).
0.4  negspouse(665 ,A ,B)  :-  party(B ,C)   ,  party(A ,D)   ,  C=D.
0.39  negspouse(666 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  parent(B ,D).
0.39  negspouse(667 ,A ,B)  :-  president(C ,B)   ,  spouse(A ,D)   ,  D=C.
0.4  negspouse(668 ,A ,B)  :-  successor(B ,C)   ,  orderInOffice(C ,D)   ,  orderInOffice(A ,D).
0.4  negspouse(669 ,A ,B)  :-  successor(C ,B)   ,  predecessor(C ,A).
0.4  negspouse(670 ,A ,B)  :-  successor(C ,B)   ,  successor(C ,A).
0.4  negspouse(671 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  parent(A ,B).
0.4  negspouse(672 ,A ,B)  :-  commander(C ,A)   ,  commander(C ,D)   ,  successor(D ,B).
0.39  negspouse(673 ,A ,B)  :-  successor(C ,A)   ,  deathPlace(C ,D)   ,  deathPlace(B ,D).
0.39  negspouse(674 ,A ,B)  :-  deathPlace(A ,C)   ,  restingPlace(B ,C)   ,  deathPlace(B ,C).
0.4  negspouse(675 ,A ,B)  :-  predecessor(B ,C)   ,  successor(D ,C)   ,  predecessor(D ,A).
0.4  negspouse(676 ,A ,B)  :-  predecessor(A ,C)   ,  successor(D ,C)   ,  predecessor(D ,B).
0.39  negspouse(677 ,A ,B)  :-  party(A ,C)   ,  country(C ,D)   ,  birthPlace(B ,D).
0.38  negspouse(678 ,A ,B)  :-  activeYearsStartYear(B ,C)   ,  activeYearsEndYear(A ,D)   ,  C>D.
0.4  negspouse(679 ,A ,B)  :-  birthPlace(A ,C)   ,  birthPlace(D ,C)   ,  associatedBand(D ,B).
0.4  negspouse(680 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(D ,C)   ,  predecessor(B ,D).
0.4  negspouse(681 ,A ,B)  :-  predecessor(A ,B)   ,  office(B ,C)   ,  C=C.
0.4  negspouse(682 ,A ,B)  :-  predecessor(B ,C)   ,  successor(C ,D)   ,  successor(D ,A).
0.4  negspouse(683 ,A ,B)  :-  predecessor(A ,C)   ,  successor(C ,D)   ,  successor(D ,B).
0.4  negspouse(684 ,A ,B)  :-  predecessor(B ,A)   ,  successor(B ,C)   ,  parent(C ,B).
0.4  negspouse(685 ,A ,B)  :-  predecessor(C ,A)   ,  successor(C ,D)   ,  successor(B ,D).
0.39  negspouse(686 ,A ,B)  :-  child(C ,B)   ,  parent(D ,A)   ,  D=C.
0.4  negspouse(687 ,A ,B)  :-  parent(C ,B)   ,  restingPlace(C ,D)   ,  birthPlace(A ,D).
0.39  negspouse(688 ,A ,B)  :-  religion(B ,C)   ,  religion(A ,C).
0.39  negspouse(689 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  successor(A ,D).
0.4  negspouse(690 ,A ,B)  :-  parent(C ,B)   ,  commander(D ,C)   ,  commander(D ,A).
0.43  negspouse(691 ,A ,B)  :-  parent(B ,A).
0.4  negspouse(692 ,A ,B)  :-  successor(A ,B)   ,  parent(B ,C)   ,  spouse(C ,A).
0.4  negspouse(693 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,A).
0.4  negspouse(694 ,A ,B)  :-  parent(C ,B)   ,  predecessor(C ,D)   ,  parent(A ,D).
0.39  negspouse(695 ,A ,B)  :-  birthPlace(B ,C)   ,  deathPlace(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(696 ,A ,B)  :-  predecessor(B ,C)   ,  primeMinister(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(697 ,A ,B)  :-  predecessor(B ,C)   ,  president(D ,C)   ,  predecessor(A ,D).
0.38  negspouse(698 ,A ,B)  :-  predecessor(C ,A)   ,  predecessor(D ,B)   ,  C=D.
0.38  negspouse(699 ,A ,B)  :-  predecessor(B ,C)   ,  termPeriod(A ,D)   ,  D=C.
0.39  negspouse(700 ,A ,B)  :-  child(B ,C)   ,  child(A ,D)   ,  C=D.
0.4  negspouse(701 ,A ,B)  :-  successor(A ,C)   ,  president(C ,D)   ,  successor(B ,D).
0.4  negspouse(702 ,A ,B)  :-  parent(C ,B)   ,  child(A ,D)   ,  C=D.
0.39  negspouse(703 ,A ,B)  :-  monarch(A ,C)   ,  spouse(D ,B)   ,  D=C.
0.39  negspouse(704 ,A ,B)  :-  predecessor(C ,B)   ,  president(A ,D)   ,  C=D.
0.4  negspouse(705 ,A ,B)  :-  office(A ,C)   ,  office(B ,C)   ,  successor(A ,B).
0.4  negspouse(706 ,A ,B)  :-  religion(B ,C)   ,  religion(D ,C)   ,  predecessor(A ,D).
0.4  negspouse(707 ,A ,B)  :-  activeYearsStartYear(A ,C)   ,  activeYearsEndYear(A ,C)   ,  parent(A ,B).
0.4  negspouse(708 ,A ,B)  :-  birthPlace(A ,C)   ,  deathPlace(A ,C)   ,  parent(A ,B).
0.4  negspouse(709 ,A ,B)  :-  predecessor(B ,C)   ,  president(A ,C).
0.4  negspouse(710 ,A ,B)  :-  primeMinister(B ,C)   ,  birthPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(711 ,A ,B)  :-  office(A ,C)   ,  office(B ,C)   ,  predecessor(A ,B).
0.39  negspouse(712 ,A ,B)  :-  spouse(C ,B)   ,  successor(D ,C)   ,  spouse(A ,D).
0.4  negspouse(713 ,A ,B)  :-  successor(C ,B)   ,  office(C ,D)   ,  orderInOffice(A ,D).
0.4  negspouse(714 ,A ,B)  :-  successor(A ,C)   ,  predecessor(A ,C)   ,  successor(B ,A).
0.4  negspouse(715 ,A ,B)  :-  successor(B ,C)   ,  office(C ,D)   ,  office(A ,D).
0.4  negspouse(716 ,A ,B)  :-  nationality(A ,C)   ,  nationality(D ,C)   ,  successor(B ,D).
0.4  negspouse(717 ,A ,B)  :-  party(B ,C)   ,  party(A ,C)   ,  successor(A ,B).
0.4  negspouse(718 ,A ,B)  :-  birthPlace(A ,C)   ,  location(D ,C)   ,  birthPlace(B ,D).
0.39  negspouse(719 ,A ,B)  :-  relative(C ,B)   ,  parent(D ,A)   ,  C=D.
0.4  negspouse(720 ,A ,B)  :-  successor(A ,C)   ,  office(C ,D)   ,  orderInOffice(B ,D).
0.4  negspouse(721 ,A ,B)  :-  spouse(A ,C)   ,  successor(D ,C)   ,  spouse(B ,D).
0.4  negspouse(722 ,A ,B)  :-  associatedMusicalArtist(C ,B)   ,  activeYearsStartYear(C ,D)   ,  activeYearsStartYear(A ,D).
0.4  negspouse(723 ,A ,B)  :-  child(C ,B)   ,  deathPlace(C ,D)   ,  deathPlace(A ,D).
0.4  negspouse(724 ,A ,B)  :-  successor(A ,C)   ,  primeMinister(C ,D)   ,  predecessor(D ,B).
0.4  negspouse(725 ,A ,B)  :-  party(A ,C)   ,  party(B ,D)   ,  D=C.
0.4  negspouse(726 ,A ,B)  :-  deathPlace(A ,C)   ,  restingPlace(A ,C)   ,  parent(B ,A).
0.39  negspouse(727 ,A ,B)  :-  predecessor(C ,B)   ,  deathPlace(C ,D)   ,  birthPlace(A ,D).
0.4  negspouse(728 ,A ,B)  :-  relative(B ,C)   ,  relative(A ,D)   ,  C=D.
0.4  negspouse(729 ,A ,B)  :-  successor(C ,A)   ,  predecessor(D ,C)   ,  successor(D ,B).
0.39  negspouse(730 ,A ,B)  :-  region(A ,C)   ,  birthPlace(B ,D)   ,  C=D.
0.39  negspouse(731 ,A ,B)  :-  termPeriod(B ,C)   ,  child(A ,D)   ,  C=D.
0.4  negspouse(732 ,A ,B)  :-  predecessor(A ,B)   ,  predecessor(B ,C)   ,  predecessor(C ,B).
0.39  negspouse(733 ,A ,B)  :-  predecessor(A ,C)   ,  deathPlace(C ,D)   ,  birthPlace(B ,D).
0.4  negspouse(734 ,A ,B)  :-  child(A ,C)   ,  party(C ,D)   ,  party(B ,D).
0.4  negspouse(735 ,A ,B)  :-  successor(A ,B)   ,  successor(B ,C)   ,  predecessor(B ,C).
0.4  negspouse(736 ,A ,B)  :-  activeYearsStartYear(A ,C)   ,  activeYearsEndYear(B ,C)   ,  successor(B ,A).
0.39  negspouse(737 ,A ,B)  :-  child(C ,B)   ,  relative(D ,A)   ,  D=C.
0.39  negspouse(738 ,A ,B)  :-  activeYearsStartDate(B ,C)   ,  birthDate(A ,D)   ,  C>D.
0.4  negspouse(739 ,A ,B)  :-  relative(C ,B)   ,  relative(D ,C)   ,  relative(D ,A).
0.4  negspouse(740 ,A ,B)  :-  successor(C ,A)   ,  predecessor(D ,C)   ,  predecessor(D ,B).
0.4  negspouse(741 ,A ,B)  :-  office(A ,C)   ,  orderInOffice(D ,C)   ,  successor(D ,B).
0.4  negspouse(742 ,A ,B)  :-  office(B ,C)   ,  orderInOffice(D ,C)   ,  successor(D ,A).
0.39  negspouse(743 ,A ,B)  :-  relative(C ,B)   ,  relative(A ,C).
0.4  negspouse(744 ,A ,B)  :-  successor(A ,C)   ,  predecessor(C ,D)   ,  successor(D ,B).
0.4  negspouse(745 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,D)   ,  successor(D ,A).
0.4  negspouse(746 ,A ,B)  :-  successor(B ,C)   ,  president(C ,D)   ,  president(A ,D).
0.4  negspouse(747 ,A ,B)  :-  orderInOffice(A ,C)   ,  orderInOffice(B ,C).
0.39  negspouse(748 ,A ,B)  :-  child(B ,C)   ,  predecessor(A ,D)   ,  C=D.
0.4  negspouse(749 ,A ,B)  :-  spouse(A ,C)   ,  spouse(C ,A)   ,  relative(A ,B).
0.39  negspouse(750 ,A ,B)  :-  child(A ,C)   ,  relative(D ,C)   ,  relative(D ,B).
0.39  negspouse(751 ,A ,B)  :-  child(C ,A)   ,  parent(D ,B)   ,  C=D.
0.4  negspouse(752 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,B)   ,  successor(A ,B).
0.4  negspouse(753 ,A ,B)  :-  spouse(C ,A)   ,  successor(D ,C)   ,  spouse(B ,D).
0.4  negspouse(754 ,A ,B)  :-  successor(B ,C)   ,  predecessor(C ,D)   ,  predecessor(D ,A).
