The_Best_of_Times_(2002_film),Chang_Tso-chi
Cyborg_009_VS_Devilman,Jun_Kawagoe
Always_Afternoon,David_Stevens_(screenwriter)
1996:_Pust_på_meg!,Eva_Isaksen
1:54_(film),Yan_England
O._Henry's_Full_House,Henry_King_(director)
Bridges_of_Sarajevo,Kamen_Kalev
The_Night_of_the_Comet,Marcos_Siega
What_Price_Porky,Bob_Clampett
Reno_(1923_film),Rupert_Hughes
The_Bad_Lord_Byron,David_MacDonald_(director)
Amici_miei_–_Atto_III,Nanni_Loy
The_Unknown_Soldier_(1955_film),Edvin_Laine
Taxi_(2015_film),Jafar_Panahi
False_Alarms_(1936_film),Del_Lord
The_Savage_State,Francis_Girod
Mixed_Nuts,Nora_Ephron
The_Unseen_(1945_film),Lewis_Allen_(director)
The_Clown_and_the_Kid,Edward_L._Cahn
Classic_Creatures:_Return_of_the_Jedi,Robert_Guenette
We_All_Scream_for_Ice_Cream_(Masters_of_Horror),Tom_Holland_(director)
Moomins_on_the_Riviera,Xavier_Picard
Crack_Baby_Athletic_Association,Trey_Parker
Humongous_(1982_film),Paul_Lynch_(director)
Outlaws_of_Boulder_Pass,Sam_Newfield
I_Am_Number_Four_(film),D._J._Caruso
Minas_Conspiracy_(film),Carmen_Santos
The_Cult_(TV_series),Peter_Burger
City_of_Bad_Men,Harmon_Jones
Reviving_Ophelia_(film),Bobby_Roth
Sappy_Birthday,Harry_Edwards_(director)
Mr._Bean,Paul_Weiland
Ishqedarriyaan,V._K._Prakash
Brun_bitter,Sølve_Skagen
The_Big_Timer,Edward_Buzzell
Men_&_Chicken,Anders_Thomas_Jensen
"Arriba,_Arriba!",Gilbert_Perez
Bears_(film),Alastair_Fothergill
Hardbodies,Mark_Griffiths
On_the_Way_Home_(film),Kieth_Merrill
The_Spider's_Web,Ray_Taylor_(director)
Holiday_(1930_film),Edward_H._Griffith
The_Duchess_of_Langeais,Jacques_Rivette
We_Are_Brothers,Jang_Jin
Noel_(film),Chazz_Palminteri
The_Koa_Man,Paul_Stewart_(actor)
All_in_the_Bunker,Andrew_Overtoom
The_Pot_Carriers,Peter_Graham_Scott
Yamegoku:_Yakuza_Yamete_Itadakimasu,Yukihiko_Tsutsumi
Fighting_Fire_Fighter,Kazuo_Mori
Je_suis_timide_mais_je_me_soigne,Pierre_Richard
Drei_Mann_auf_einem_Pferd,Kurt_Meisel
Parinda,Vidhu_Vinod_Chopra
Thamizhan,Majith
"Shake,_Rattle_&_Roll_X",Topel_Lee
Some_Mother's_Son,Terry_George
The_Victim_(2011_film),Michael_Biehn
The_Wings_of_the_Dove_(1997_film),Iain_Softley
Over_My_Dead_Body_(Grimm),Rob_Bailey_(director)
The_Happy_Vagabonds,Luise_Fleck
Night_Nurse_(1979_film),Mariano_Laurenti
Beck_–_Spår_i_mörker,Morten_Arnfred
The_White_Caravan,Tamaz_Meliava
Wolf_Dog,Sam_Newfield
Elite_Squad:_The_Enemy_Within,José_Padilha
Rough_(manga)__live_film__1,Kentarō_Ōtani
Storm_Warning_(1951_film),Stuart_Heisler
Chitti_Tammudu,K._B._Tilak
Deep_Throat_(film),Gerard_Damiano
Frisco_Waterfront,Arthur_Lubin
The_Engagement_(Seinfeld),Andy_Ackerman
Ramayan_(1954_film),Vijay_Bhatt
Papillon_(film),Franklin_J._Schaffner
Missing_in_Action_(film),Joseph_Zito
Soul_Man_(TV_series),John_Pasquin
We_Who_Are_About_to_Die,Christy_Cabanne
Sakka_Podu_Podu_Raja,S._P._Muthuraman
She_Gets_Her_Man,William_Nigh
No_Way_Back_(1976_film),Fred_Williamson
While_No_One_Is_Watching,David_Herdies
Young_Sherlocks,Tom_McNamara_(director)
Within_These_Walls,Jim_Goddard
The_Proud_Twins_(film),Chor_Yuen
Kismet_(1930_film),John_Francis_Dillon_(director)
Stuck_Between_Stations,Brady_Kiernan
Vendredi_soir,Claire_Denis
Hot_Water_(1937_film),Frank_R._Strayer
Kisise_Na_Kehna,Keshavrao_Date
Chu_Chu_and_the_Philly_Flash,David_Lowell_Rich
Sdach_Domrei_Sor,Dy_Saveth
Billionaire_Ransom,Jim_Gillespie
Paarthal_Pasu,K._S._Gopalakrishnan
Hot_Girls_Wanted,Jill_Bauer
Prince_of_Darkness_(film),John_Carpenter
Insidious_(film_series),James_Wan
Prison_on_Fire,Ringo_Lam
Ravoyi_Chandamama,Jayanth_C._Paranjee
Dareka_no_Manazashi,Makoto_Shinkai
A_Life_of_Her_Own,George_Cukor
Dove_volano_i_corvi_d'argento,Piero_Livi
The_Man_Who_Would_Not_Die,Nate_Watt
The_Brothers_(1947_film),David_MacDonald_(director)
Suburra_(film),Stefano_Sollima
The_Adventures_of_Arsène_Lupin,Jacques_Becker
The_Navigator_(1924_film),Donald_Crisp
"Toto,_Peppino_and_the_Outlaws",Camillo_Mastrocinque
Dirty_Hands_(2008_drama_film),Cetywa_Powell
Escapade_romaine,Jérémie_Carboni
The_White_Handkerchief,Tunde_Kelani
Room_at_the_Bottom,David_Croft_(TV_producer)
A_Final_Reckoning,Ray_Taylor_(director)
Quirke_(TV_series),John_Alexander_(director)
Vennira_Iravuggal,Perakas_Rajaram
Maïna,Michel_Poulette
The_Merry_Wives_of_Windsor_(1918_film),William_Wauer
Brass_(film),Sidney_Franklin_(director)
Give_and_Tyke,Joseph_Barbera
Carnival_Magic_(film),Al_Adamson
The_Meeting_Point,Goran_Marković_(film_director)
The_Spirit_of_Charles_Lindbergh,Orson_Welles
Land_of_Silence_and_Darkness,Werner_Herzog
Kamen_Rider_W,Ryuta_Tasaki
Road_House_(1989_film),Rowdy_Herrington
Chakkarayumma,Sajan_(director)
Punk's_Dead,James_Merendino
Let_It_Be_Me_(1936_film),Friz_Freleng
Call_It_a_Day,Archie_Mayo
Battle_Angel_(OVA),Hiroshi_Fukutomi
The_Face_at_the_Window_(1919_film),Charles_Villiers_(actor)
Savage_Breed,Pasquale_Squitieri
A_Lion_Is_in_the_Streets,Raoul_Walsh
The_Invitation_(1973_film),Claude_Goretta
The_Other_Bank,Giorgi_Ovashvili
Foreign_Land_(film),Daniela_Thomas
Murder_on_the_Waterfront,B._Reeves_Eason
Flight_7500,Takashi_Shimizu
General's_Son_II,Im_Kwon-taek
Changi_(miniseries),Kate_Woods
Moving_the_Mountain_(1994_film),Michael_Apted
Manila_in_the_Claws_of_Light,Lino_Brocka
Hoffmeyer's_Legacy,Mack_Sennett
Crayon_Shin-chan:_The_Storm_Called:_Yakiniku_Road_of_Honor,Tsutomu_Mizushima
May_Allah_Bless_France!,Abd_al_Malik_(rapper)
Hurricane_Island,Lew_Landers
The_Great_Leap_(film),Arnold_Fanck
The_Girl_on_a_Swing,Felix_Basch
The_Eternal_Grind,John_B._O'Brien
Phffft,Mark_Robson
The_Good_Shepherd_(film),Robert_De_Niro
High_Flight_(film),John_Gilling
Love_Story_(2011_Indonesian_film),Hanny_Saputra
All_the_Rivers_Run,Pino_Amenta
Bird_of_Paradise_(1951_film),Delmer_Daves
Short_Changed,George_Ogilvie
Convict_99,Marcel_Varnel
"Run_Silent,_Run_Deep_(1958_film)",Robert_Wise
Pukar_(2000_film),Rajkumar_Santoshi
David_Copperfield_(1935_film),George_Cukor
Goldie_Gold_and_Action_Jack,John_Kimball
The_Quiet_Ones_(2014_film),John_Pogue
Swedish_Dicks,Peter_Settman
Till_There_Was_You_(1990_film),John_Seale
Freedom_(2000_film),Šarūnas_Bartas
Pinkeltje_(film),Harrie_Geelen
The_Great_New_Wonderful,Danny_Leiner
The_Mark_of_Zorro_(1920_film),Fred_Niblo
A_Successful_Failure,Arthur_Lubin
Ginger_&_Rosa,Sally_Potter
Moodu_Mulla_Bandham,Muthyala_Subbaiah
Tout_ça..._pour_ça_!,Claude_Lelouch
Elegy_of_Ren,Kim_Ki-young
Zero_Hour!,Hall_Bartlett
Rhodium_Nights,Norberto_Barba
Hyènes,Djibril_Diop_Mambéty
Far_from_Vietnam,Alain_Resnais
Son_of_the_Mask,Lawrence_Guterman
Under_the_Tonto_Rim_(1933_film),Henry_Hathaway
Lojzička,Miroslav_Cikán
Burning_Secret,Andrew_Birkin
El_Ratón_(film),Chano_Urueta
Weekend_at_Dunkirk,Henri_Verneuil
Pilot_(Life_on_a_Stick),Andy_Ackerman
The_End_of_the_Line_(1957_film),Charles_Saunders_(director)
Kondapalli_Raja,Ravi_Raja_Pinisetty
Havoc_in_Heaven,Wan_Laiming
The_Counterfeiters_(1948_film),Sam_Newfield
Daaku_Aur_Jawan,Sunil_Dutt
Bommarillu,Bhaskar_(director)
Luke_Lugs_Luggage,Hal_Roach
Lake_Effect_(film),Sam_Qualiana
Life_Is_a_Long_Quiet_River,Étienne_Chatiliez
The_Bad_Seed_(1956_film),Mervyn_LeRoy
Racing_Luck,Rupert_Kathner
Mujhse_Shaadi_Karogi,David_Dhawan
The_New_Maverick,Hy_Averback
Kitty_and_the_Great_Big_World,Alfred_Weidenmann
Brides_(2004_film),Pantelis_Voulgaris
Glenview_High,Rod_Hardy
The_Forgotten_Pistolero,Ferdinando_Baldi
La_abuelita,Raphael_J._Sevilla
Prosecution_(film),Thulasidas
Frk._Møllers_jubilæum,Alice_O'Fredericks
Lullaby_of_Broadway_(film),David_Butler_(director)
G'olé!,Tom_Clegg_(director)
The_Spider_(1916_film),Robert_G._Vignola
Du_Cote_D'Orouet,Jacques_Rozier
Vaalee_(film),S._Mahendar
Getter_Robo_G,Tomoharu_Katsumata
The_Juror,Brian_Gibson_(director)
Zatoichi_Meets_Yojimbo,Kihachi_Okamoto
Born_into_Brothels,Zana_Briski
Navagraha_Nayagi,K._Shankar
The_Grey_Zone,Tim_Blake_Nelson
Dinky_Dog,Carl_Urbano
Unnaipol_Oruvan_(2009_film),Chakri_Toleti
Macross_Delta,Shōji_Kawamori
As_Long_as_You're_Near_Me,Harald_Braun
The_Famous_Woman,Robert_Wiene
Devils_You_Know,Ron_Underwood
Burning_the_Wind,Herbert_Blaché
Eettillum,Fazil_(director)
The_Printer's_Devil_(film),William_Beaudine
Meet_Wally_Sparks,Peter_Baldwin_(director)
Kaidan_Kasane-ga-fuchi,Nobuo_Nakagawa
Chidambarathil_Oru_Appasamy,Thangar_Bachan
The_Fake_(1927_film),Georg_Jacoby
Kids_Return,Takeshi_Kitano
Ride_Tonight!,Gustaf_Molander
"Hi,_Mom!",Brian_De_Palma
Legacy_(Star_Trek:_The_Next_Generation),Robert_Scheerer
Powder_Town,Rowland_V._Lee
A_Ballerina's_Tale,Nelson_George
The_Butterfly_That_Flew_Over_the_Sea,Antonio_de_Obregón
The_Lords_of_Flatbush,Martin_Davidson
Saturday_Evening_Puss,Joseph_Barbera
The_Boat_Race_(film),Bernard_Bellefroid
Lakshmi_(1977_film),J._Sasikumar
Fear_(1965_film),Ritwik_Ghatak
Jenny's_Wedding,Mary_Agnes_Donoghue
Ornette:_Made_in_America,Shirley_Clarke
"Scooby-Doo,_Where_Are_You!",Joseph_Barbera
Knockaround_Guys,Brian_Koppelman
Coupling_(U.S._TV_series),Andrew_D._Weyman
Mary_Christmas_(film),John_Schneider_(screen_actor)
The_Girl_in_Number_29,John_Ford
Delta_(TV_series),Andy_Cadiff
Dear_Ruth,William_D._Russell_(director)
Oblivion_2:_Backlash,Sam_Irvin
Fellini's_Casanova,Federico_Fellini
The_Last_Guardian,Fumito_Ueda
Ozhimuri,Madhupal
Ju-On:_The_Grudge_(video_game),Takashi_Shimizu
The_Uncle,Desmond_Davis
Saps_at_Sea,Gordon_Douglas_(director)
Raja_Rani_(1973_film),Sachin_Bhowmick
Pushing_Hands_(film),Ang_Lee
Mohabbat_Ki_Aakhri_Kahaani,Siraj-ul-Haque
The_Search_for_Animal_Chin,Stacy_Peralta
The_House_in_Montevideo_(1963_film),Helmut_Käutner
Chain_of_Desire,Temístocles_López
The_Early_Bird_Dood_It!,Tex_Avery
Remember_Me_(1985_film),Lex_Marinos
She's_No_Lady,Charles_Vidor
Dog's_Best_Friend,Allan_A._Goldstein
Hearts_in_Bondage,Lew_Ayres
Desperate_Mission_(1965_film),Roberto_Bianchi_Montero
Come_and_Find_Me,Zack_Whedon
The_Raccoons,Kevin_Gillis
I_Don't_Know_How_She_Does_It,Douglas_McGrath
Lila_&_Eve,Charles_Stone_III
Born_Free_(TV_series),Paul_Krasny
A_Journey_to_London,Gareth_Davies_(director)
Quitting,Zhang_Yang_(director)
Celia_(film),Ann_Turner_(director)
Shikshanachya_Aaicha_Gho,Mahesh_Manjrekar
Meherjaan,Rubaiyat_Hossain
The_Grim_Adventures_of_Billy_&_Mandy,John_McIntyre_(cartoonist)
A_Student's_Song_of_Heidelberg,Karl_Hartl
Almost_Married,Charles_Lamont
The_Heritage_of_the_Desert_(film),Irvin_Willat
Lake_Placid_Serenade,Steve_Sekely
The_Swan_Princess_Christmas,Richard_Rich_(director)
Projections_(Star_Trek:_Voyager),Jonathan_Frakes
Lockdown_(Stargate_SG-1),Will_Waring
Patient_Zero_(film),Stefan_Ruzowitzky
The_Fat_Man_(film),William_Castle
Koyelaanchal,Ashu_Trikha
Call_Me_Crazy:_A_Five_Film,Ashley_Judd
Call_of_the_Blood,John_Clements_(actor)
No_Shooting_Time_for_Foxes,Peter_Schamoni
Lipstick_(1960_film),Damiano_Damiani
Kaaviya_Thalaivan_(2014_film),Vasanthabalan
A_Notorious_Gentleman,Edward_Laemmle
An_Angel_on_Wheels,Géza_von_Radványi
Simhasanam_(2012_film),Shaji_Kailas
Scent_of_a_Woman_(1992_film),Martin_Brest
And_That's_Not_All...,Duncan_Gibbins
Raaj_the_Showman,Prem_(film_director)
Just_One_Summer,Mac_Alejandre
The_Silent_Wife,Li_Hsing
Caterpillar_(1988_film),Shozin_Fukui
Volta_(film),Wenn_V._Deramas
A_Cave_Man_Wooing,Otis_Turner
B._Monkey,Michael_Radford
The_Heart_of_Maryland_(1915_film),Herbert_Brenon
The_Invincible_Gladiator,Alberto_De_Martino
Tales_of_Symphonia,Eiji_Kikuchi
The_Vulture_(1982_film),Ferenc_András
Vaisakhi_List,Smeep_Kang
There_Will_Be_Blood,Paul_Thomas_Anderson
Debt_of_Honour,Norman_Walker_(director)
Fireman_Save_My_Child_(1918_film),Alfred_J._Goulding
Some_Folks_Call_It_a_Sling_Blade,George_Hickenlooper
Globalisation_Is_Good,Charlotte_Metcalf
The_Best_House_in_London,Philip_Saville
There's_Something_Out_There,Brian_Pulido
The_Ogre_(1988_film),Lamberto_Bava
Case_Closed__tv_series__1,Yasuichiro_Yamamoto
Milan_(1967_film),Adurthi_Subba_Rao
Come_Fly_with_Me_(2010_TV_series),Paul_King_(director)
Django_Strikes_Again,Nello_Rossati
A_Place_of_One's_Own,Bernard_Knowles
Sing_As_We_Go,Basil_Dean
Friend_or_Foe_(SpongeBob_SquarePants),Tom_Yasumi
Day_of_the_Diesels,Greg_Tiernan
The_Blue_Mauritius,Viggo_Larsen
Tum_Mile,Kunal_Deshmukh
The_Lone_Wolf_Spy_Hunt,Peter_Godfrey_(director)
Four_Sisters_and_a_Wedding,Cathy_Garcia-Molina
The_Nazis_Strike,Anatole_Litvak
The_Three_Lives_of_Thomasina,Don_Chaffey
Frenzied_Finance,Bobby_Burns
La_gatta_da_pelare,Pippo_Franco
The_Barretts_of_Wimpole_Street_(1957_film),Sidney_Franklin_(director)
La_nipote,Nello_Rossati
Five_Women_for_the_Killer,Stelvio_Massi
Hell's_Angels_'69,Lee_Madden
World_War_III_(miniseries),Boris_Sagal
Shudharil_Shudhan,Jayaraj_Vijay
Wolf_in_the_Fold,Joseph_Pevney
Resident_Evil:_Retribution,Paul_W._S._Anderson
Couples_(film),Jeong_Yong-ki
Mascots_(1929_film),Felix_Basch
Duelist_(2005_film),Lee_Myung-se
Charas_(2004_film),Tigmanshu_Dhulia
The_Twilight_Saga_(film_series),Chris_Weitz
Pépé_le_Moko,Julien_Duvivier
What's_a_Nice_Girl_Like_You_Doing_in_a_Place_Like_This%3F,Martin_Scorsese
Clannad_(film),Osamu_Dezaki
Golden_Rule_Kate,Reginald_Barker
Hollywood_Chainsaw_Hookers,Fred_Olen_Ray
The_Rag-Picker,Georges_Méliès
President_(1937_film),Nitin_Bose
Aaya_Toofan,Deepak_Balraj_Vij
Five_Easy_Pieces,Bob_Rafelson
The_Rising_of_the_Moon_(film),John_Ford
Phar_Lap_(film),Simon_Wincer
I'm_Not_Harry_Jenson,James_Napier_Robertson
Nivedyam_(2007_film),A._K._Lohithadas
Birds_in_the_Spring,David_Hand_(animator)
La_Blue_Girl__ova__1,Kan_Fukumoto
Border_Patrol_(U.S._TV_series),Richard_Whorf
Dragon_Quest_VIII,Akihiro_Hino
Ente_Ammu_Ninte_Thulasi_Avarude_Chakki,Balachandra_Menon
Godless_(TV_series),Scott_Frank
Circus_Fandango,Arne_Skouen
A_Woman_Alone_(1956_film),Vittorio_Sala
Legacy_of_Kain:_Defiance,Amy_Hennig
Twelve_Women,Luis_Moglia_Barth
The_Brave_Archer_and_His_Mate,Chang_Cheh
Musoduro,Giuseppe_Bennati
Tajna_starog_tavana,Vladimir_Tadej
A_Trap,Adek_Drabiński
Le_Pont_du_Nord,Jacques_Rivette
Hard_Target,John_Woo
Say_It_Again_(film),Gregory_La_Cava
The_Body_Said_No!,Val_Guest
Every_Which_Way_but_Loose_(film),James_Fargo
Lover_Boy_(film),Geoffrey_Wright
A_Peep_Behind_the_Scenes_(1918_film),Geoffrey_Malins
A_Taste_of_Cold_Steel,Yueh_Feng
Rio_Grande_Raiders,Thomas_Carr_(director)
Mystery_Monsters,Charles_Band
Final_Approach_(2007_film),Armand_Mastroianni
Parting_Gifts,James_A._Contner
Boop-Oop-a-Doop,Dave_Fleischer
Podaa_Podi,Vignesh_Shivan
Ponnapuram_Kotta,Kunchacko
The_Devil_Plays_the_Flute,José_María_Forqué
Say_Anything...,Cameron_Crowe
Great_Expectations_(Modern_Family),Jason_Winer
Aik_Nayee_Cinderella,Haissam_Hussain
Paap,Pooja_Bhatt
Meet_the_Raisins!,Will_Vinton
Yankee_Doodle_in_Berlin,F._Richard_Jones
Bittersweet_Motel,Todd_Phillips
Born_to_Defence,Jet_Li
Bedlam_(film),Mark_Robson
Business_as_Usual_(Star_Trek:_Deep_Space_Nine),Alexander_Siddig
A_Moslem,Vladimir_Khotinenko
The_Old_Young_People,Rodolfo_Kuhn
Redux_(Homeland),Carl_Franklin
Lucky_Jokers,Sunil_(director)
Bheema_Theeradalli,Om_Prakash_Rao
Creep_2,Patrick_Brice
Preservation_of_the_Sign_Language,George_Veditz
Vše_pro_lásku,Martin_Frič
Our_Modern_Maidens,Jack_Conway_(filmmaker)
Stand_Up_and_Be_Counted,Jackie_Cooper
USA_High,Gary_Shimokawa
Bachelor_Flat,Frank_Tashlin
The_Gay_Corinthian,Arthur_Rooke
The_Dungeonmaster,Charles_Band
The_Gladiators_(film),Peter_Watkins
A_Tale_of_Springtime,Éric_Rohmer
Sri_Krishnadevaraya_(film),B._R._Panthulu
The_Adventures_of_Tarzan,Robert_F._Hill
Rendavathu_Padam,C._S._Amudhan
Arabesque_(1966_film),Stanley_Donen
Thirteen_Women,Tommy_Atkins_(director)
High_School_Musical,Kenny_Ortega
We're_No_Angels_(1989_film),Neil_Jordan
Chain_of_Command_(2000_film),John_Terlesky
Double_Crossbones,Charles_Barton_(director)
If_I_Ever_Leave_This_World_Alive,Allan_Kroeker
77_Sunset_Strip,Irving_J._Moore
Thomas_the_Impostor,Georges_Franju
Shunyo,Rudranil_Ghosh
TMNT_(film),Kevin_Munroe
Born_to_Sing_(1942_film),Edward_Ludwig
Transe,Teresa_Villaverde
Manithali,M._Krishnan_Nair_(director)
See_the_Sea,François_Ozon
Running_the_Halls,Troy_Miller
Back_Burners,Tim_Van_Patten
Zenki__tv_series__1,Junji_Nishimura
The_Way_of_the_Warrior_(Star_Trek:_Deep_Space_Nine),James_L._Conway
The_Greene_Murder_Case_(film),Frank_Tuttle
King_Worm,Larry_Leichliter
Puff_and_the_Incredible_Mr._Nobody,Fred_Wolf_(animator)
A_Certain_Scientific_Railgun__tv_series__1,Tatsuyuki_Nagai
House_at_the_End_of_the_Street,Mark_Tonderai
Eraser_(film),Chuck_Russell
Scooby's_Mystery_Funhouse,Bill_Hutton
Back-Room_Boy,Herbert_Mason
A_Little_Hero_(film),George_Nichols_(actor)
Le_Corsaire_(film),Marc_Allégret
Visit_to_a_Small_Planet,Norman_Taurog
Pressure_Point_(film),Hubert_Cornfield
Nimirndhu_Nil,Samuthirakani
Game_of_Seduction,Roger_Vadim
Major_Payne,Nick_Castle
Journey_to_Regionals,Brad_Falchuk
Gold_Mine_in_the_Sky,Joseph_Kane
The_Kids_(M*A*S*H_episode),Alan_Alda
Jail_Bait_(1954_film),Ed_Wood
The_High_Cost_of_Living,Deborah_Chow
The_Laramie_Trail,John_English_(director)
Skinner's_Baby,Harry_Beaumont
Made_in_U.S.A._(1966_film),Jean-Luc_Godard
Frozen_Justice,Allan_Dwan
Revolt_at_Fort_Laramie,Lesley_Selander
Háry_János_(1965_film),Miklós_Szinetár
Full_Strike,Derek_Kwok
The_North_Remembers,Alan_Taylor_(director)
Oubliette_(The_X-Files),Kim_Manners
Meat_Market_(film),Brian_Clement
The_Lion_and_the_Mouse_(1928_film),Lloyd_Bacon
Uncle_Brian,Nick_McAnulty
Andrew_and_Jeremy_Get_Married,Don_Boyd
Sunday_Heroes,Mario_Camerini
A_Girl's_Own_Story,Jane_Campion
Dummy_Ache,Leslie_Goodwins
You_Were_Never_Really_Here,Lynne_Ramsay
Vagabond_(film),Agnès_Varda
Blue_Blood_(1925_film),Scott_R._Dunlap
It's_Kind_of_a_Funny_Story_(film),Ryan_Fleck
Grizzly_Falls,Stewart_Raffill
Eleventh_Hour_(1942_film),Dan_Gordon_(animator)
Totally_Blonde,Andrew_Van_Slee
Front_Mission_3,Toshiro_Tsuchida
Kabhie_Kabhie_(1976_film),Yash_Chopra
Finally_Alone,Miroslav_Cikán
Still_Game,Michael_Hines
The_Family_Man,Brett_Ratner
Power_Rangers_in_Space,Judd_Lynn
Prisoners_of_the_Casbah,Richard_L._Bare
Kings_of_the_Road,Wim_Wenders
Ketu_Duplicate,Relangi_Narasimha_Rao
Gone_to_Earth_(film),Rouben_Mamoulian
Pilot_(Raising_Hope),Michael_Fresco
Las_Abandonadas,Emilio_Fernández
"Abbott_and_Costello_Meet_the_Killer,_Boris_Karloff",Charles_Barton_(director)
Brütal_Legend,Tim_Schafer
Ehrengard,Emidio_Greco
Love_Is_the_Drug_(film),Elliott_Lester
Superman_Hour,Hal_Sutherland
The_Prophecy_of_the_Lake,José_María_Velasco_Maidana
Wimbledon_(film),Richard_Loncraine
Cheyenne_Wildcat,Lesley_Selander
Major_Chandrakanth_(1993_film),Kovelamudi_Raghavendra_Rao
Lassie's_Rescue_Rangers,Hal_Sutherland
Scout's_Honor_(film),Henry_Levin
The_Last_Bridge,Helmut_Käutner
How_the_West_Was_Won_(film),John_Ford
Ein_Lord_am_Alexanderplatz,Günter_Reisch
The_Velvet_Vampire,Stephanie_Rothman
Mission:_Impossible_(film_series),John_Woo
Rani_Saheba_(1930_film),V._Shantaram
Insect_Woman_(1972_film),Kim_Ki-young
Kajarya,Madhureeta_Anand
"Samoa,_Queen_of_the_Jungle",Guido_Malatesta
Two_Flaming_Youths,John_Waters_(director_born_1893)
A_Hero_of_the_Big_Snows,Herman_C._Raymaker
Unlawful_Entry_(film),Jonathan_Kaplan
Neighbours_(1952_film),Norman_McLaren
Metal_Skin_Panic_MADOX-01,Shinji_Aramaki
The_Last_Valley_(1971_film),James_Clavell
Dinosaurus!,Irvin_Yeaworth
I_viaggiatori_della_sera,Ugo_Tognazzi
A_Boy_Called_H,Yasuo_Furuhata
The_Easy_Road,Tom_Forman_(actor)
Liewe_Heksie,Louise_Smit
The_Right_of_the_Weakest,Lucas_Belvaux
Neermaathalathinte_pookkal,Sohanlal
Just_Before_Nightfall,Claude_Chabrol
Nobody's_Son,Michael_Curtiz
Can-Can_(film),Walter_Lang
The_Stork_Club_(1945_film),Hal_Walker
WELCOME_M1LL10NS,Milroy_Goes
Close_Relations,Ray_McCarey
The_Red_Mill_(film),Roscoe_Arbuckle
Rawhead_Rex_(film),George_Pavlou
Lost_for_Words_(2013_film),Stanley_J._Orzel
Night_of_the_Demons_(2009_film),Adam_Gierasch
Luv_(film),Clive_Donner
Underworld_(film_series),Måns_Mårlind
Keith_Broke_His_Leg,Keith_Powell
Ganga_Sagar_(film),Ashish_Kumar_(actor)
Time_to_Live_(film),Bernard_Paul
Flemming_og_Kvik,Gabriel_Axel
Vidarunna_Mottukal,P._Subramaniam
Prahaar:_The_Final_Attack,Nana_Patekar
Tiger_Island_(1930_film),Gerald_M._Hayle
Chasing_Trouble,Howard_Bretherton
The_Mommies_(TV_series),Frank_Bonner
Redfern_Now,Leah_Purcell
White_Palace_(film),Luis_Mandoki
The_Sun_in_a_Net,Štefan_Uher
Two_in_a_Car,Joe_May
Cardinal_(The_Americans),Daniel_Sackheim
Chaowa_Pawa_(1959_film),Tarun_Majumdar
Tell_It_to_the_Marines_(film),George_W._Hill
We_Go_Way_Back,Lynn_Shelton
Comfort_and_Joy_(1984_film),Bill_Forsyth
Human_Scramble_-RAIN-,Hideyuki_Hirayama
The_Flapper,Alan_Crosland
Ausente_(film),Marco_Berger
Dream_of_a_Summer_Night,Gabriele_Salvatores
In_Praise_of_Older_Women_(1978_film),George_Kaczender
Lock_Charmer,Natalia_Smirnoff
My_Cousin,Edward_José
The_Liberated_Earth,Aleksandr_Medvedkin
Shortcut_Romeo,Susi_Ganeshan
Sally_of_the_Subway,George_B._Seitz
The_Devil's_Man,Paolo_Bianchini
The_Bet_(1992_film),Ted_Demme
I_Was_a_Male_War_Bride,Howard_Hawks
The_Man_in_the_Gray_Flannel_Suit,Nunnally_Johnson
The_X-Files_(film),Rob_Bowman_(director)
The_Way_of_the_Gun,Christopher_McQuarrie
Notorious_(1946_film),Alfred_Hitchcock
Juan_&_Ted:_Wanted,Al_Tantay
Flashback_(1990_film),Franco_Amurri
Mack_&_Myer_for_Hire,A._Edward_Sutherland
A_Black_Veil_for_Lisa,Massimo_Dallamano
The_Beast_(1988_film),Kevin_Reynolds_(director)
Kamen_Rider_Den-O,Osamu_Kaneda
The_13th_Warrior,John_McTiernan
The_Life_and_Death_of_Jeremy_Bentham,Jack_Bender
Frozen_Stiff,Milorad_Milinković
Autocine_Mon_Amour,Fernando_Siro
Confederate_Honey,Friz_Freleng
Homesteaders_of_Paradise_Valley,R._G._Springsteen
Fight_or_Flight_(Heroes),Lesli_Linka_Glatter
Ebb_Tide_(The_Wire),Ed_Bianchi
Jawani,Wajahat_Mirza
Mugavaree,V._Z._Durai
Darkstone:_Evil_Reigns,Paul_Cuisset
La_Seine_no_Hoshi,Masaaki_Ōsumi
Bitter_Harvest_(1993_film),Duane_Clark
Houseguest,Randall_Miller
Anita_and_Me_(film),Metin_Hüseyin
What_You_Have_Left,Agnieszka_Holland
Battle_Royale_II:_Requiem,Kenta_Fukasaku
Flirting_with_Anthony,Christian_Calson
Sardar_Papa_Rayudu,Dasari_Narayana_Rao
Wavelength_(1967_film),Michael_Snow
Circuit_no_Ōkami__live_film__1,Kazuhiko_Yamaguchi
Caltiki_–_The_Immortal_Monster,Mario_Bava
Asterix_&_Obelix:_Mission_Cleopatra,Alain_Chabat
Look_Back_in_Anger_(1959_film),Tony_Richardson
Chanakya_(TV_series),Chandraprakash_Dwivedi
Slouching_Towards_Bethlehem_(Defiance),Larry_Shaw_(director)
Drifters_(2003_film),Wang_Xiaoshuai
The_Sin_Ship,Louis_Wolheim
Blood_Brothers_(2007_drama_film),Vishal_Bhardwaj
